additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Pittville Street, Portobello, Edinburgh, EH15","Added on 22/09/2024
 by MOV8 Real Estate, Scotland Head Office",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 22/09/2024,"Rarely available, flexible, three-bedroom, beachfront, end-terrace villa, forming part of a period, stone-built terrace. Located on a quiet side street, with a private driveway and garden, adjacent to the Promenade, in the heart of Portobello. A generous entrance porch offers ample space for o...",https://www.rightmove.co.uk/properties/152763824#/?channel=RES_BUY,610000,152763824,,for-sale,,Leasehold (40 years),40 years,end,https://www.rightmove.co.uk/properties/152763824#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Craigs Road, 
Edinburgh, 
EH12 0BB","Added on 07/03/2025
 by Barratt Homes",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 07/03/2025,The Crombie is an impressive four bedroom detached home with an integral garage. The entrance hallway takes you to the front-facing lounge and to the back of the house where you'll find the open-plan kitchen/dining room with a family area. A utility room and WC are located just off the kitchen an...,https://www.rightmove.co.uk/properties/159162902#/?channel=RES_BUY,609995,159162902,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/159162902#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Craigs Road, 
Edinburgh, 
EH12 0BB","Added on 07/01/2025
 by Barratt Homes",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 07/01/2025,The Crombie is a detached home with an integral garage. The hallway takes you to the lounge and the open-plan kitchen/dining/family area with French doors to the garden. A utility room and WC are located just off the kitchen. All four double bedrooms are upstairs with the main bedroom offering an...,https://www.rightmove.co.uk/properties/156599537#/?channel=RES_BUY,607995,156599537,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156599537#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/277k/276743/150060677/276743_230964_DOC_00_0000.pdf""]","4 Gamekeeper's Park, Edinburgh, EH4 6PA","Reduced on 06/12/2024
 by ELP Arbuthnott McClanachan, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 06/12/2024,"Set in a peaceful and exclusive development, this generously proportioned, five-bedroom, semi-detached linked house offers versatile accommodation over three floors, in the highly sought after Cramond area of Edinburgh, close to excellent schools, beautiful green spaces, Cramond beach and good tr...",https://www.rightmove.co.uk/properties/150060677#/?channel=RES_BUY,605000,150060677,,for-sale,,Leasehold (40 years),40 years,semi-detached villa,https://www.rightmove.co.uk/properties/150060677#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Norwal Drive,
Edinburgh,
EH12 0EP","Added on 06/03/2025
 by David Wilson Homes",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 06/03/2025,"This light and airy family home offers a spacious choice, without having to compromise on style. With sash style windows it has a traditional look, while inside you enjoy its modern design features including an open-plan kitchen/dining area, spacious lounge and practical utility. With four double...",https://www.rightmove.co.uk/properties/159105146#/?channel=RES_BUY,604995,159105146,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/159105146#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Robertson's Court, Calton Road, Old Town","Added on 13/03/2025
 by Murray & Currie, Edinburgh",0,1,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 13/03/2025,Charming Old Town Flat with Stunning Views & Private Parking,https://www.rightmove.co.uk/properties/159379592#/?channel=RES_BUY,195000,159379592,529sq. ft,for-sale,,Leasehold (100 years),100 years,Not specified,https://www.rightmove.co.uk/properties/159379592#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Meadowsweet Drive,
Edinburgh,
EH4 8FD","Added on 20/12/2024
 by David Wilson Homes",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 20/12/2024,"On the ground floor of The Campsie, there is a front-facing lounge, as well as a kitchen/dining area with French doors leading out to the garden. Two double bedrooms, one with an en suite, a single bedroom and a family bathroom can be found on the first floor. The top floor is dedicated to the ma...",https://www.rightmove.co.uk/properties/156071084#/?channel=RES_BUY,603995,156071084,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156071084#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/82k/81489/157996481/81489_250683_DOC_00_0000.pdf""]","8 Eyre Place Lane, Edinburgh, EH3 5EH","Added on 08/02/2025
 by Murray Beith Murray LLP, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 08/02/2025,"8 Eyre Place Lane is a delightful 4 bedroom townhouse, located in a peaceful cul-de-sac in Edinburgh's prestigious New Town. Forming part of a modern row built in 2001, the property lies within easy access of the amenities and attractions of the City Centre. The well-presented house offers bright...",https://www.rightmove.co.uk/properties/157996481#/?channel=RES_BUY,600000,157996481,850000sq. ft,for-sale,,Leasehold (170 years),170 years,t,https://www.rightmove.co.uk/properties/157996481#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Sunbury Mews, Edinburgh, EH4","Reduced on 14/03/2025
 by Macgregor, Edinburgh",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 14/03/2025,7 Sunbury Mews is a beautifully finished 3 bedroom mews house with garage on a beautiful cobbled street in Edinburgh's West End.,https://www.rightmove.co.uk/properties/154120307#/?channel=RES_BUY,600000,154120307,1495sq. ft,for-sale,,Leasehold (40 years),40 years,mews h,https://www.rightmove.co.uk/properties/154120307#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/69k/68041/155313596/68041_MFL1232982_DOC_00_0000.pdf""]","19 Barnton Grove, Barnton, Edinburgh, EH4 6EQ","Reduced on 12/03/2025
 by McEwan Fraser Legal, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 12/03/2025,Spacious Four Bedroom Semi Detached Stone Built Home with South Facing Garden and Two Public Rooms,https://www.rightmove.co.uk/properties/155313596#/?channel=RES_BUY,600000,155313596,,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/155313596#/?channel=RES_BUY,
