additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","PORTLAND PLACE, 5 CALVERLY STREET, LEEDS, LS1","Added on 04/03/2025
 by Linley & Simpson, Leeds",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 04/03/2025,"**INCREDIBLE LAYOUT** 1,800 sqft ** EN- SUITE BATHROOM, SHOWER ROOM & W/C** city facing views **DUPLEX PENTHOUSE** excellent storage **THREE BALCONIES & FLAGGED TERRACE** light and bright **ALLOCATED PARKING** EPC Rating D.",£150 per year,https://www.rightmove.co.uk/properties/158965883#/?channel=RES_BUY,875000,158965883,1800sq. ft,for-sale,"£8,250 per year",Leasehold (24 years),24 years,Not specified,https://www.rightmove.co.uk/properties/158965883#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/263k/262034/155531810/262034_RX463547_DOC_00_0000.pdf""]","Main Street, Shadwell, Leeds","Added on 29/11/2024
 by Butler Ridge, Wetherby",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 29/11/2024,"Nestled in the heart of Shadwell village you will find The Old Stables, a truly stunning four bedroom family home which exudes warmth and character at every turn",,https://www.rightmove.co.uk/properties/155531810#/?channel=RES_BUY,875000,155531810,2508sq. ft,for-sale,,Leasehold (25 years),25 years,detached h,https://www.rightmove.co.uk/properties/155531810#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Stoneleigh Close, Moortown, LS17","Added on 03/01/2025
 by Furnell Residential, Leeds",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 03/01/2025,An imposing five-bedroom detached family home which is set within an enviable plot boasting beautiful south facing gardens.,,https://www.rightmove.co.uk/properties/156438401#/?channel=RES_BUY,875000,156438401,2788sq. ft,for-sale,,Leasehold (15 years),15 years,detached h,https://www.rightmove.co.uk/properties/156438401#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/76k/75987/158434250/75987_33669062_DOC_00_0000.pdf""]","Moor Road, Bramhope, Leeds","Added on 19/02/2025
 by David Phillip Estate Agents, North Leeds",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",C,GB,GBP,Added on 19/02/2025,A fine detached family house of individual charm and character offering optional 6 bedrooms and an integral double garage located towards the fringe of this popular village.,,https://www.rightmove.co.uk/properties/158434250#/?channel=RES_BUY,870000,158434250,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/158434250#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Harrogate Road, Leeds","Reduced on 06/02/2025
 by William H. Brown, Moortown",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 06/02/2025,"A beautifully presented five double bedroom double fronted detached family home, situated in a highly desirable area. The property has spacious and versatile living accommodation and is set on a large plot with well manicured private front and rear gardens. Viewing is highly recommended.",,https://www.rightmove.co.uk/properties/153020873#/?channel=RES_BUY,869950,153020873,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/153020873#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Claremont Drive, Leeds, West Yorkshire, LS6","Added on 28/02/2025
 by Dacre Son & Hartley, Weetwood",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 28/02/2025,"*** Unexpectivley re available *** This stunning, beautifully presented and elegant, six-bedroom Victorian property has been transformed by the current owners into a splendid family home, combining character alongside open plan living space and modern home comforts. The property featu...",,https://www.rightmove.co.uk/properties/150056900#/?channel=RES_BUY,865000,150056900,3396sq. ft,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/150056900#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Pottery Hill, Pottery Hill, Pottery Lane, Woodlesford, Leeds","Added on 24/05/2024
 by Fine & Country, Moortown",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 24/05/2024,"CONTACT DEVELOPERS FOR INCENTIVES This stunning five bedroom property is set to be finished to the highest standard, offering contemporary style modern day living with spacious accommodation extending to over 3,000 sq ft.",,https://www.rightmove.co.uk/properties/148394192#/?channel=RES_BUY,860000,148394192,3056sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/148394192#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Belmont Grove, Rawdon, Leeds, West Yorkshire, LS19","Added on 20/01/2025
 by Hardisty Prestige, Horsforth",4,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 20/01/2025,"Located in this prestigious cul-de-sac is this superb, recently extended & fully modernised 5 double bed., 4 bathroom, residence which is set in delightful gardens. Totalling circa 2800 sq ft this home is exceptionally well balanced with large, versatile reception space complementing the bedr...",,https://www.rightmove.co.uk/properties/157118054#/?channel=RES_BUY,850000,157118054,2800sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/157118054#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Park Avenue, Roundhay, Leeds","Added on 05/02/2025
 by Fine & Country, Moortown",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/02/2025,"Nestled in one of North Leeds’ most sought-after locations is this stunning home, offering a rare opportunity to live just a stone's throw from the tranquil beauty of Roundhay Park. Properties on this prestigious street rarely come to market, making this an exceptional find.",,https://www.rightmove.co.uk/properties/157803509#/?channel=RES_BUY,850000,157803509,1496sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/157803509#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/33k/32945/157831028/32945_33653890_DOC_02_0006.pdf""]","Sunny Nook Cottage, Parkside Road, Meanwood, LS6","Added on 05/02/2025
 by Alan Cooke Sales & Lettings, Meanwood",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/02/2025,"This beautiful home has been thoughtfully designed by the current owners so you can't help but fall in love when you walk through the vibrant red door!! With gas ch, triple glazing & under floor heating the property briefly comprises: Dining/sitting room with wood burner & views to the front & ...",,https://www.rightmove.co.uk/properties/157831028#/?channel=RES_BUY,850000,157831028,2010sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/157831028#/?channel=RES_BUY,
