additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Cameron Court, Wynyard Woods, Wynyard, TS22","Reduced on 07/11/2024
 by J W Wood, Durham City",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 07/11/2024,"***PART EXCHANGE CONSIDERED***The property is situated on a plot of just over 1/3 of an acre with woodland to the rear providing privacy. The property is approximately 592 square metres (6200 square Feet) and the garage 54.5 square metres. Built to a high specification, which includes a mix...",,https://www.rightmove.co.uk/properties/133962728#/?channel=RES_BUY,1250000,133962728,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/133962728#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/2k/1754/156249476/1754_BIL109075_DOC_01_0000.pdf""]","Duke Of Wellington Gardens, Wynyard, Billingham","Added on 26/12/2024
 by Manners & Harrison, Billingham",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/12/2024,"This exceptional six-bedroom, individually designed dream home offers luxurious living with outstanding features throughout. This truly exceptional family home must be seen in person to fully appreciate its remarkable design, luxurious features, and unparalleled attention to detail.",,https://www.rightmove.co.uk/properties/156249476#/?channel=RES_BUY,1200000,156249476,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156249476#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/51k/50411/155443577/50411_32571487_DOC_00_0019.pdf""]","Cawthorne Place, Wynyard, Billingham","Added on 28/01/2025
 by Robinsons Regency and Rural, Wynyard",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 28/01/2025,"Life today is all about wellbeing, feeling good and being in an environment that supports our health and happiness. At the heart of this should be our home: a place that feels safe, secure and comfortable and ideally one where we can be close to nature. 2 Cawthorne Place, Wynyard, is an excep...",,https://www.rightmove.co.uk/properties/155443577#/?channel=RES_BUY,1200000,155443577,4500sq. ft,for-sale,,Leasehold (25 years),25 years,h,https://www.rightmove.co.uk/properties/155443577#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/51k/50411/159516392/50411_33745638_DOC_00_0000.pdf""]","Manorside, Wynyard, Billingham","Added on 17/03/2025
 by Robinsons Regency and Rural, Wynyard",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 17/03/2025,"** More Photographs to Follow ** Nestled within the prestigious gated community of Manorside, Wynyard Park, this exceptional six-bedroom detached mansion is a true testament to luxury living. Spanning over 6,500 square feet across three elegantly designed floors, this residence is set on...",,https://www.rightmove.co.uk/properties/159516392#/?channel=RES_BUY,1150000,159516392,,for-sale,,Leasehold (25 years),25 years,detached h,https://www.rightmove.co.uk/properties/159516392#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Duke of Wellington Gardens, Wynyard, Durham","Added on 17/09/2024
 by roseberry newhouse, Teesside",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 17/09/2024,"Set within an exclusive gated development, this magnificent self-build dwelling offers an indulgent 4400sqft+ of luxury living. Presented to a 'show home' standard featuring an open-plan 'family hub', multiple reception rooms, six bedrooms & landscaped gardens.",,https://www.rightmove.co.uk/properties/152558006#/?channel=RES_BUY,1125000,152558006,4400sq. ft,for-sale,,Leasehold (30 years),30 years,detached h,https://www.rightmove.co.uk/properties/152558006#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Close Farm Cottage, Wynyard, TS22","Added on 23/10/2024
 by Bradley Hall, Durham",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 23/10/2024,"Close Farm Cottage is a charming farmhouse ideal for those prioritising privacy and breathtaking views. Tucked away in a private location within the prestigious village of Wynyard, the property offers stunning uninterrupted countryside vistas and is surrounded by lush wraparound gardens.",,https://www.rightmove.co.uk/properties/154131203#/?channel=RES_BUY,1100000,154131203,3315sq. ft,for-sale,,Leasehold (30 years),30 years,detached h,https://www.rightmove.co.uk/properties/154131203#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/51k/50411/155056961/50411_33513287_DOC_00_0003.pdf""]","Duke of Wellington Gardens, Wynyard, Billingham","Added on 16/11/2024
 by Robinsons Regency and Rural, Wynyard",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 16/11/2024,"Welcome to this exceptional executive home, perfectly situated on a corner plot within an exclusive gated development of just 30 individually designed properties. This striking residence spans over three floors, offering approximately 5,000 square feet of luxurious living space tailored for famil...",,https://www.rightmove.co.uk/properties/155056961#/?channel=RES_BUY,1100000,155056961,,for-sale,,Leasehold (25 years),25 years,detached h,https://www.rightmove.co.uk/properties/155056961#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Manorside, Wynyard, TS22","Added on 26/02/2025
 by Collier Estates, Hartlepool",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/02/2025,"A stunning 5 Bedroom detached luxury home within the exclusive, private gated community of Manorside, Wynyard. This exceptional home occupies a generous 0.26 Acre corner plot, delivering 4058sqft of living space over 2 floors, finished to a high standard throughout. CHAIN FREE.",,https://www.rightmove.co.uk/properties/158713202#/?channel=RES_BUY,1000000,158713202,4058sq. ft,for-sale,,Leasehold (20 years),20 years,detached h,https://www.rightmove.co.uk/properties/158713202#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Duke Of Wellington Gardens, Wynyard, TS22","Reduced on 03/02/2025
 by Anthony Jones Properties, Darlington",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 03/02/2025,"Discover a home of extraordinary architectural design and modern sophistication in the heart of Wynyard Park. This stunning residence spans approximately 4,945 square feet over three floors, crafted with the discerning family in mind, this property must be viewed to be fully appreciated. Call NOW.",,https://www.rightmove.co.uk/properties/152284958#/?channel=RES_BUY,970000,152284958,4941sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/152284958#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Brickgarth Drive, Stoney Wood, Cameron Hall Homes, Wynyard, TS22","Added on 02/12/2024
 by Selectiv, Teesside",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 02/12/2024,"Plot 36, The Cameron! Cameron Hall Homes presents an A-rated new build. Featuring Neff appliances, Laufen sanitaryware, smart speakers, and more as standard. Spacious plots available. Secure your dream home-register interest now!",,https://www.rightmove.co.uk/properties/155588324#/?channel=RES_BUY,969995,155588324,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/155588324#/?channel=RES_BUY,
